School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Baker University Wildcats,"Baldwin City, Kansas",baker-university,,,,
Baldwin-Wallace Yellow Jackets,"Berea, Ohio",baldwin-wallace,baldwin-wallace,Baldwin Wallace,Baldwin Wallace University,#010101
Ball State,"Muncie, Indiana",ball-state,ball-st,Ball St.,Ball State University,#BA0C2F
Baltimore Super Bees,"Baltimore, Maryland",baltimore,,,,
Baylor,"Waco, Texas",baylor,baylor,Baylor,Baylor University,#1B3E30
Bellarmine,"Louisville, Kentucky",bellarmine,bellarmine,Bellarmine,Bellarmine University,#772f40
Belmont,"Nashville, Tennessee",belmont,belmont,Belmont,Belmont University,#0D2C6B
Beloit Buccaneers,"Beloit, Wisconsin",beloit,beloit,Beloit,Beloit College,#06346b
Bethune-Cookman,"Daytona Beach, Florida",bethune-cookman,bethune-cookman,Bethune-Cookman,Bethune-Cookman University,#6F263D
Binghamton,"Binghamton, New York",binghamton,binghamton,Binghamton,Binghamton University,#006747
Birmingham-Southern Panthers,"Birmingham, Alabama",birmingham-southern,birmingham-so,Birmingham-So.,Birmingham-Southern College,#010101
Bloomsburg Huskies,"Bloomsburg, Pennsylvania",bloomsburg,bloomsburg,Bloomsburg,Bloomsburg University,#6F263D
Boise State,"Boise, Idaho",boise-state,boise-st,Boise St.,Boise State University,#0032A0
Boston College,"Chestnut Hill, Massachusetts",boston-college,boston-college,Boston College,Boston College,#862633
Boston University,"Boston, Massachusetts",boston-university,boston-u,Boston U.,Boston University,#C8102E
Bowling Green State,"Bowling Green, Ohio",bowling-green-state,bowling-green,Bowling Green,Bowling Green State University,#FE5000
Bradley,"Peoria, Illinois",bradley,bradley,Bradley,Bradley University,#A21B21
Brigham Young,"Provo, Utah",brigham-young,byu,BYU,Brigham Young University,#213C84
Brigham Young College,"Logan, Utah",brigham-young-college,,,,
Brooklyn Bulldogs,"Brooklyn, New York",brooklyn,brooklyn,Brooklyn,Brooklyn College,#861F41
Brown,"Providence, Rhode Island",brown,brown,Brown,Brown University,#4E3629
Bryant,"Smithfield, Rhode Island",bryant,bryant,Bryant,Bryant University,#010101
Bucknell,"Lewisburg, Pennsylvania",bucknell,bucknell,Bucknell,Bucknell University,#071D49
